,s1/MES,s2/IMM,s3/PRO,s4/DIF,s5/ANM
SQRDL,0.100924488,0.456243676,-1.282090732,0.209712861,-0.257450701
SNX10,0.509921703,0.634272752,-0.480408348,-0.408607436,-0.353908426
SNAI2,1.545213764,0.094453221,-0.16036048,-0.178508517,-1.166127709
COLEC11,-0.257669429,-0.40404727,1.26961606,1.815805791,0.584226566
FBN1,1.790896654,-0.074791916,-0.305355968,-0.231597827,-1.530553778
GBP2,0.349081996,0.442320703,-1.289535784,0.00260633,-0.28479144
GPR183,0.77380498,0.569107126,-0.775867274,-0.112706616,-0.265891427
GFPT2,1.260840647,-0.061816734,-0.254756601,-0.005991743,-0.648244533
IFI35,0.103428552,0.731128611,-0.689947671,-0.185320512,-0.114622476
COL3A1,1.412695351,0.057813863,-0.329488473,-0.440474461,-1.955441175
SCARA3,-0.04635604,0.12300024,-0.395734234,0.701578036,0.079355593
TPX2,-0.26398289,0.345663043,0.424442227,-0.719936805,-0.14146301
MN1,1.094867566,-0.141717492,0.296729853,-0.060428468,-0.405113657
MLPH,-0.410960043,-0.225937947,-0.631757281,0.810926124,0.285762961
F13A1,1.116586034,-0.03388727,-0.464030214,-0.099752085,-0.671398371
KLF2,1.07752193,-0.016943336,-0.310045924,0.121033897,-0.502785036
RARRES3,-0.232946224,0.733552777,-1.662852087,0.417097346,0.056100112
PNMAL1,-0.122594246,-0.347723133,0.644771503,-0.107685436,-0.46737866
ITGB4,-0.029769185,-0.033760143,-0.551613629,0.723189223,0.030722502
MAP1B,0.450927278,-0.248289679,0.468968186,-0.026512189,-0.760925214
ADAM12,1.372780359,0.120830161,-0.174552901,-0.261554555,-0.322011935
NKX3-2,1.069786785,0.028653945,0.08631043,-0.115777178,-0.306003063
CYR61,1.139591775,-0.157500817,-0.242394271,0.097086519,-1.272899603
SERPINE1,1.558322068,0.314157684,-0.197116895,-0.096874131,-0.595198833
PALLD,1.029039634,-0.258222488,-0.131997071,-0.094586195,-1.201488925
MGLL,0.283549184,-0.030131594,-0.589794621,0.733764476,-0.113670893
ECM2,1.3493271,-0.22836393,-0.20794714,0.177799043,-0.800677451
FSTL1,0.863786842,-0.329541684,0.114244622,-0.268532628,-1.22352125
TAP1,0.062311703,0.908892505,-1.021878807,-0.064291382,0.145435104
ACTA2,1.488794582,-0.022185847,-0.458570207,-0.240149189,-1.514379273
TCF7L1,0.434568206,-0.464121754,1.133824239,-0.150186108,-0.352231637
DSE,0.756526621,0.090867152,-0.371217962,-0.203554826,-0.864373229
CD74,0.078232017,0.462177326,-1.664006351,0.108985924,-0.265120639
ID2,0.385908858,-0.123770816,-0.106220698,0.074390762,-0.769371368
PLSCR1,-0.064310747,0.712233616,-0.640832474,-0.103720615,-0.080556611
PBK,-0.228086657,0.625760236,0.151653288,-0.235001038,-0.122826318
BAMBI,0.368521683,-0.618556428,0.863479394,0.627529479,-0.528336273
SRPX2,1.086289456,-0.174032153,-0.148691449,0.069285496,-0.677232416
KLK11,-0.437648549,0.174632567,-0.921768932,0.648342133,-0.156833409
