Gene Name,Diff,Imm,Mes,Pro
A2BP1,-0.7673,-1.2671,-0.3066,2.1369
A2M,-0.8158,5.1992,4.625,-9.045
A4GALT,3.1208,-0.529,2.0096,-4.2301
A4GNT,2.5679,-0.6911,-2.3895,0.6756
AAAS,-0.1826,-1.9241,-4.2148,6.1685
AACS,1.9747,-0.1925,-3.3532,1.627
AADAC,-0.7168,2.4983,1.1758,-2.7966
AAK1,2.555,-0.1273,-1.3527,-0.8083
AAMP,1.3076,0.8498,-4.4301,2.2284
AANAT,2.3717,2.6686,-2.4906,-2.1295
AARS,-2.9031,2.4115,-1.1048,1.3839
AARSD1,-0.9808,-0.2113,-0.3006,1.3436
AASDHPPT,-0.637,-0.8228,0.9646,0.3874
AASS,-3.4373,-3.024,3.158,2.7409
AATF,-0.9058,-0.7158,-1.8855,3.296
AATK,1.1127,-1.6589,-2.4389,2.8933
ABAT,-0.9409,0.5281,-4.0869,4.2752
ABBA-1,2.1989,-2.5914,-1.4586,1.841
ABCA1,-2.7458,2.0846,7.6546,-6.7116
ABCA12,1.9242,-0.7853,-0.2013,-0.7658
ABCA2,2.3062,-4.5308,-0.2558,2.2935
ABCA3,2.0132,-0.2894,-2.8859,1.2496
ABCA4,1.721,-0.5635,-0.95,-0.0759
ABCA5,1.2503,0.2156,0.8041,-2.0733
ABCA6,-3.7335,-2.0987,10.9766,-4.0991
ABCA7,4.2787,1.6247,0.6613,-6.0617
ABCA8,-2.4164,-3.671,7.8217,-1.5586
ABCB1,-1.0437,2.7356,2.0651,-3.5998
ABCB11,1.0659,2.3967,-1.8917,-1.3098
ABCB4,-2.336,1.7689,4.6073,-3.9536
ABCB6,0.983,-2.3992,-2.1385,3.4127
ABCB7,1.489,2.0767,-0.4066,-2.8338
ABCB8,1.7288,0.353,-2.6289,0.6625
ABCB9,1.761,2.0287,-2.7378,-0.7896
ABCC1,-1.2265,-2.6317,0.5939,2.9258
ABCC10,-0.1178,0.341,-2.0861,1.7865
ABCC2,3.6305,-0.2855,-3.5433,0.4772
ABCC3,1.6326,1.6329,4.0597,-7.1743
ABCC4,1.7663,1.5426,-2.3862,-0.679
ABCC5,-1.9837,-1.9195,0.9779,2.5653
ABCC6,0.0841,-0.5855,-2.578,2.9468
ABCC8,2.4158,-0.7667,-2.4596,0.9406
ABCC9,-2.7928,-2.7808,7.9519,-2.1313
ABCD1,2.1128,1.5784,0.3609,-3.6974
ABCD2,-1.6744,5.6685,1.6325,-5.2646
ABCD3,-0.6272,0.7937,0.2727,-0.4388
ABCD4,-1.4186,-1.575,0.3291,2.3816
ABCE1,-2.3285,4.1221,0.5056,-2.1643
ABCF1,-1.9709,1.45,-1.9121,2.2324
