genes,lassoFreq,rfFreq
AADAC,0.50375,0
ABCA1,0.23675000000000002,0.022750000000000006
ABCB1,0.034,0
ABCC2,0.0605,0
ABCC3,0.7050000000000001,1
ABCC4,0.20449999999999996,0.001
ABCC5,0.09874999999999999,0
ABCE1,0.07575000000000001,0
ADAM12,0.6432500000000001,1
ADAMDEC1,0.99425,1
ADCYAP1R1,0.46475,0
ADH1B,0.781,0.89325
AFP,0.06825000000000002,0
AKT1,0.092,0
AKT1S1,0.25125,0
AKT2,0.641,7.5e-4
ALG10B,0.015999999999999997,0.00125
ALG8,0.24475,0
ANKRA2,0.13575,0
ANKRD1,0.00375,0
ANXA4,0.0325,0
AOX1,0.065,0
AP3S1,0.14600000000000002,0
APBB2,0.03025,0.28775
APC,0.012249999999999999,0
APC2,0.026000000000000002,0.024250000000000004
APPL2,0.7267499999999999,0.39225
AR,0.05324999999999999,0
ARHGEF11,0.17150000000000004,0.001
ARID1B,0.07650000000000001,0.001
ARID5B,0.39449999999999996,2.5e-4
ASB7,0.056749999999999995,0
ASRGL1,0.09774999999999999,0.422
ATG16L1,0.08775000000000001,2.5e-4
ATM,0.10075,0
ATP5A1,0.08349999999999999,0
ATP5G3,0.6977500000000001,0
ATP5H,0.16925,0
ATP8B4,0.9195000000000001,0.8527500000000001
AURKA,0.026750000000000003,2.5e-4
AURKB,0.02475,0.001
AXL,0.7765,0.999
B4GALT5,0.428,5e-4
BAALC,0.09624999999999999,0
BABAM1,0.011250000000000001,0
BAP1,0.00175,0
BAX,0.23675000000000002,2.5e-4
BCAP31,0.1205,0
BCHE,0.393,0.40175
BCL2,0.1705,0
BECLIN1,0.016499999999999997,0
BIRC5,0.129,2.5e-4
BMS1,0.029249999999999998,0
BNIP3,0.22125000000000003,5e-4
BNIP3L,0.03875,0.00575
BOP1,0.26975,0
BRAF,0.2065,0
BRCA1,0.483,0.0022500000000000003
BRCA2,0.17125,0
BYSL,0.34425,0
C10orf116,0.06575,2.5e-4
C10orf82,0.08474999999999999,0.038500000000000006
C19orf12,0.20025,0
C1orf173,0.062,0
C7orf26,0.14,2.5e-4
CAMK1,0.34,0
CAPN2,0.0315,0.001
CASP8,0.18025,0.010499999999999999
CAT,0.13549999999999998,0
CAV1,0.07175000000000001,0.27975
CCDC171,0.050749999999999997,0
CCL5,0.998,1
CCND1,0.4145,0.00125
CCNE1,0.32575,0
CD2,0.050499999999999996,1
CD27,0.35649999999999993,1
CD302,0.0535,0.003
CD38,0.585,0.99975
CD3D,0.48175,1
CD3e,0.6739999999999999,1
CD47,0.34325,0.00175
CD55,0.02125,0
CD68,0.38675,0.9984999999999999
CD74,0.9755,1
CD8A,0.39575,0.99925
CDC42,0.068,0.00175
CDC7,0.03475,7.5e-4
CDCA8,0.0515,7.5e-4
CDH1,0.202,0
CDK12,0.009000000000000001,2.5e-4
CDK4,0.44025000000000003,0.01225
CDK6,0.01075,2.5e-4
CDK8,0.22625,0.0635
CDK9,0.16949999999999998,0
CDKN2A,0.38675,5e-4
CDKN3,0.22924999999999998,0
CEACAM5,0.059000000000000004,0
CHCHD8,0.20400000000000001,5e-4
CLUH,0.051250000000000004,0
COBL,0.3415,0.012499999999999999
COL11A1,0.28300000000000003,1
COL1A2,0.6799999999999999,1
COL3A1,0.981,1
COL4A6,0.38525000000000004,0.13574999999999998
COL5A1,0.73275,1
COL5A2,0.326,1
CPNE1,0.14350000000000002,0.081
CPNE8,0.03775,0.002
CRABP2,0.143,0
CRISPLD2,0.64175,1
CSF1R,0.59425,0.99775
CSNK1G3,0.021500000000000002,0
CTHRC1,0.8255,1
CTLA4,0.0645,0.996
CTNNB1,0.10575,0.01325
CTNNBL1,0.27875,0.5269999999999999
CTSD,0.021750000000000005,0.03875
CTSK,0.9844999999999998,1
CX3CR1,0.08,0.00175
CXCL10,0.54225,0.9934999999999999
CXCL11,0.58425,0.99875
CXCL14,0.22999999999999998,0.98275
CXCL17,0.15824999999999997,0.39475
CXCL9,0.8847499999999999,1
CYB561,0.31925,5e-4
