ottaID,C1.MES,C2.IMM,C4.DIF,C5.PRO
TAOC00005,0.808,0.137,0.02,0.035
TAOC00009,0.115,0.668,0.135,0.082
TAOC00018,0.11,0.395,0.362,0.133
TAOC00019,0.27,0.573,0.09,0.067
TAOC00022,0.579,0.27,0.056,0.095
TAOC00024,0.297,0.347,0.189,0.167
TAOC00029,0.033,0.042,0.369,0.556
TAOC00034,0.099,0.416,0.359,0.126
TAOC00068,0.609,0.095,0.06,0.236
TAOC00070,0.073,0.773,0.118,0.036
TAOC00095,0.909,0.066,0.006,0.019
TAOC00098,0.516,0.313,0.065,0.106
TAOC00099,0.943,0.051,0.001,0.005
TAOC00101,0.019,0.181,0.701,0.099
TAOC00118,0.015,0.093,0.822,0.07
TAOC00121,0.432,0.19,0.057,0.321
TAOC00128,0.09,0.193,0.242,0.475
TAOC00135,0.917,0.063,0.003,0.017
TAOC00158,0.158,0.157,0.278,0.407
TAOC00171,0.924,0.056,0.004,0.016
TAOC00191,0.227,0.341,0.157,0.275
TAOC00192,0.076,0.626,0.219,0.079
TAOC00195,0.151,0.454,0.213,0.182
TAOC00208,0.066,0.608,0.275,0.051
TAOC00220,0.366,0.362,0.064,0.208
TAOC00224,0.108,0.46,0.292,0.14
TAOC00229,0.498,0.257,0.136,0.109
TAOC00230,0.011,0.024,0.414,0.551
TAOC00240,0.585,0.234,0.084,0.097
TAOC00241,0.967,0.02,0.004,0.009
TAOC00255,0.031,0.03,0.243,0.696
TAOC00268,0.086,0.377,0.436,0.101
TAOC00281,0.076,0.652,0.197,0.075
TAOC00287,0.118,0.523,0.23,0.129
TAOC00291,0.054,0.277,0.542,0.127
TAOC00313,0.148,0.634,0.131,0.087
TAOC00329,0.057,0.303,0.562,0.078
TAOC00334,0.361,0.335,0.11,0.194
TAOC00341,0.908,0.055,0.004,0.033
TAOC00344,0.934,0.05,0.002,0.014
TAOC00385,0.115,0.751,0.087,0.047
TAOC00411,0.251,0.105,0.12,0.524
TAOC00417,0.041,0.669,0.238,0.052
TAOC00422,0.102,0.466,0.346,0.086
TAOC00460,0.065,0.111,0.467,0.357
TAOC00462,0.239,0.506,0.136,0.119
TAOC00469,0.085,0.397,0.287,0.231
TAOC00474,0.091,0.416,0.335,0.158
TAOC00491,0.048,0.126,0.65,0.176
TAOC00505,0.841,0.129,0.007,0.023
TAOC00507,0.192,0.401,0.177,0.23
TAOC00516,0.024,0.285,0.599,0.092
TAOC00518,0.969,0.021,0.004,0.006
TAOC00521,0.784,0.148,0.01,0.058
TAOC00525,0.058,0.206,0.3,0.436
TAOC00535,0.139,0.319,0.378,0.164
TAOC00551,0.115,0.262,0.371,0.252
TAOC00555,0.736,0.184,0.013,0.067
TAOC00557,0.19,0.499,0.186,0.125
TAOC00558,0.31,0.199,0.087,0.404
TAOC00559,0.946,0.044,0.003,0.007
